StationName,Latitude,Longitude
BADHAL,27.2520587,75.4516454
XX-BECE,,
XX-BSPY,,
YY-BPLC,,
KICHHA,28.913427,79.519746
SHEREKAN,29.55519806064484,74.43499088287354
BHUKARKA,29.238227312503696,74.75103096105158
NOHAR,29.192562738768984,74.77362781763077
PERUNGUDI,12.975217,80.231363
KHINANIYAN,29.345637263205944,74.7179570607841
JAULKHERA,21.838466,78.216684
BARSALI,21.909813,78.03136099999999
GIRWAR,23.838186,78.936311
DANGIDHAR,23.871771000000003,79.019912
DHODHAR,23.770741,75.10354600000001
GANESHGANJ,23.895862,79.074633
JAYANAGAR MAJILPUR HALT,22.168635,88.415324
NASIRABAD,26.29446,74.71699100000001
PATHARIA,23.905726,79.192899
NIZAMABAD,18.679165,78.103238
RAJENDRA PUL,25.387447,86.01054599999999
ADUTURAI,11.009165,79.478668
KUMBAKONAM,10.952962,79.388644
MANAMADURAI JN,9.681539,78.45351
GORAKHPUR JN,26.759311,83.381499
BJUP,,
VARNAMA,22.184274,73.16928300000001
GORAKHPUR CANT,26.750649,83.416821
ITOLA,22.149889,73.156746
CIKA,,
XX-CPHO,,
BARAUT,29.09692,77.273006
MOGA,30.817296,75.16846699999999
SAMAKHIALI JN,23.309819,70.503394
LLHW,,
RASHEEDPURA KHORI,27.713786,75.087121
PEDDAVADIAPUDI,16.414205000000003,80.612645
ELLAMANCHILI,17.553652000000003,82.85262
CHATRAPPATTI,10.476971,77.655113
JARWAL ROAD,27.120389,81.540406
BRAJRAJNAGAR,21.822718,83.923653
COLONELGANJ,27.137698,81.69417800000001
KATHOLA,27.1465555756,81.8556626477
MUNDERWA,26.776435,82.903373
SAINAGAR SHIRDI,19.7807923,74.4806877
DHOLA JN,21.822549,71.738273
PHAGWARA JN,31.2175557498,75.7655019775
YY-BINP,,
JHUNPA,28.777449,75.521553
XX-JSGB,,
JHARSUGUDA JN,21.862274,84.017427
KARCHHUE,26.2311244405,84.20715351199999
MAHENDRANATH,26.000739,84.509909
TAPPA KHAJURIAY,25.807401,84.688889
DODDAMPATTI,12.18134581,78.42225009
SREE,,
ASHAPURA GOMAT,26.950232,71.892665
NEYKKARAPATTI,11.612765,78.09669699999999
GORAUL,25.931049,85.318477
DKJC,,
KURHANI,25.979631,85.339288
TIRUPPUR VANJIPALAYAM,11.117791,77.26580200000001
COIMBATORE NORTH,11.019937,76.954304
AMBALA CANT JN,30.338918,76.826966
SIRATHU,25.650642,81.31786
SHUJAATPUR,25.605607000000003,81.401934
BIDANPUR,25.585017,81.44201699999999
MOTIPURA CHAUKI,24.6093382288,77.04829951629999
HATHIDAH JN,25.367027,85.987826
TINSUKIA GOODS,,
DUDHNOI,26.001459,90.76188
RUNDHI,28.067751,77.350991
ITAUNJA,27.081067,80.89123400000001
RAMSAR,25.722252,70.866078
PILIBHIT JN,28.614978,79.813946
RAMPURA BERI,28.5301320576,75.64547982849999
MUGHAL SARAI JN,25.278149,83.11925000000001
RAMGARH SHEKHAWATI,28.169397,74.993046
BAKAINA HALT,29.0358,78.27473099999999
HOSHANGABAD,22.75274,77.715594
ASLANA,23.860522,79.319493
BUDNI,22.7871143,77.6812826
YY-IDHW,,
DHAMALGAON,27.325566,94.856569
LAKDIKAPUL,17.404048000000003,78.463527
BARUD,22.052142,76.814085
DEVLALI,19.897509,73.83729
JURTARA,22.253005,79.76127199999999
REWA,24.537122,81.250615
DHOLKA,22.731982,72.433842
NANDESARI,22.418331637,73.0952734283
MIYAGAM KARJAN,22.050722,73.120353
MAHOBA,25.306914,79.849079
JAMGAON,22.418426,80.198945
BAGHOI KUSA,24.8399006513,84.46243313289999
NOLI,28.746571,77.31077099999999
SUJRA,29.012729,77.26134099999999
AMOD,21.99079116739973,72.86546467803419
LAKODARA,21.991872,73.09899399999999
VANKAL,21.43967393177265,73.23136643506587
BYCULLA,18.97695,72.833211
BHAGWANPUR,25.85831672,85.30109021000001
KOTTURU,14.826788325296278,76.21354088187218
BHALUKMARA,26.685532,94.143709
ANJANGAON,21.163199753077336,77.31896504759789
DEBAGRAM,23.685277,88.306807
ACHALPUR,21.27760302246017,77.51926277764142
BETHUADAHARI,23.610275,88.384597
WARUD,20.74690547756532,78.65141943097115
BVAC,,
BVBC,,
VELANKANNI,10.686877168293025,79.84618068672717
PUTLACHERUVU,16.484823,81.112395
BENNIPATTI PIRAPUR,25.892949366,85.3090478906
JALAMB JN,20.813007,76.573236
GORAPUR,18.346936,82.79406
PATTARAVAKKAM,13.114499981582952,80.16618146561086
SHEGAON,20.801724,76.690331
GUDRU HALT,22.2718946035,80.1163395764
BALGONA,23.458049719226736,87.95045644976199
KALINARAYANPUR,23.206506,88.573216
S K NAGJIHARI,20.761641,76.755353
PARAS,20.724519,76.815865
BARDA,22.15295838,88.08753041
GAIGAON,20.720684,76.890093
REWRAL,21.261121,79.468096
KHAT,21.242242,79.550792
BHANDARA ROAD,21.238512,79.64752299999999
KOKA,21.263021,79.71240900000001
DAGHORA,21.857535,83.678086
HEMAGIRI,21.876504,83.742815
NAINPUR JUNCTION,22.425676,80.108853
NAKACHARI,26.7081333353,94.3939129431
ALIPUR DUAR JN,26.523279,89.534048
BHARWARI,25.5591917,81.4918665
JHITKIA,25.626133,88.05297200000001
MANOHARGANJ,25.524992,81.55907499999999
SAIYID SARAWAN,25.494982,81.613788
MANAURI,25.470171,81.662491
BAMHRAULI,25.44494,81.741641
SUBEDARGANJ,25.439879,81.789897
KOLAKALUR,16.295185999999998,80.627521
CHILUVUR,16.379558,80.61690800000001
KOVVUR,17.007084,81.726495
GODAVARI,17.007707,81.77083
KANJIKODE,10.800919,76.75531600000001
SANKA,23.52693,86.616164
BINAIKI,22.72003,79.902424
GOCHARAN,22.277738,88.45836999999999
SEONI,22.075431,79.545769
SUDAMDIH,23.654478,86.44032
PCLS,,
BARAUNI JN,25.461768000000003,85.988748
DAMOH,23.836693,79.432246
ADAS ROAD,22.486628078200003,73.0346944543
CHALALA,21.4155588,71.16224249999999
RANOLI,22.4052520954,73.1122662115
HARIPUR,26.012397,74.024928
KUMARGHAT,24.1506303119,92.0348331158
AURANGABAD,19.859276,75.31064599999999
BEVINAHALU,15.16697376,77.21298975
VMC,,
SOMNATH,20.896132,70.408254
CUDDALORE PORT,11.715119,79.766287
PALEJ,21.921578,73.072387
GOLE,25.891938,72.00004
BDX,,
TIRORA,21.415039,79.91803499999999
JAMGA,21.874971,83.564842
JMSY,,
AHALYAPUR,26.468381,83.824844
TENALI JN,16.242409000000002,80.640413
TUMMANAMGUTTA,13.707414,78.37926300000001
CHAGALLU,16.965076999999997,81.690558
PASIVEDALA,16.99331,81.700939
MARWAR BAGRA,25.208689,72.59376099999999
JANIYANA,25.827638,72.336284
SAMDHARI JN,25.837202,72.57300699999999
SUTLANA,25.970783,72.951414
PORBANDAR,21.643598,69.615506
CHIKKANDAWADI,14.1379202737,76.2025684888
